"ID" "S6_DE.02.17982" "S6_DE.03.21762" "S6_DE.08.4808" "S6_GR.10824" "S6_GR.3810" "S6_GR.5549.D" "S6_GR.6296.D" "S6_GR.7150" "S6_GR.9320" "S6_M140" "S6_M141" "S6_M156"
"NM_002220" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003806" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003805" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003802" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003803" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003800" 26 218 11 26 0 34 115 0 60 16 43 403
"NM_001003801" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_172367" 0 0 0 0 0 0 0 0 0 0 0 0
"MSTRG.12668.1" 1 18 0 0 0 0 0 0 3 0 0 20
"NM_001003809" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304464" 0 216 0 0 0 0 0 0 10 0 0 180
"NM_001304465" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304466" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304467" 9 149 1 3 0 4 8 4 26 7 9 95
"NM_001304460" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001008781" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304462" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304463" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001143980" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_001284_2" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_001284_3" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304468" 0 0 0 0 0 0 0 0 0 0 0 56
"NM_012151_1" 0 0 0 0 0 0 1 0 0 0 0 3
"NM_012151_2" 0 0 0 0 0 0 0 0 0 0 1 0
"NR_003227" 0 0 0 0 0 0 0 0 0 0 0 0
"NR_003226" 6 20 1 8 0 13 16 0 25 2 8 40
"NR_003225" 0 15 0 0 0 0 0 0 0 0 10 24
