"ID" "S6_DE.02.17982" "S6_DE.03.21762" "S6_DE.08.4808" "S6_GR.10824" "S6_GR.3810" "S6_GR.5549.D" "S6_GR.6296.D" "S6_GR.7150" "S6_GR.9320" "S6_M140" "S6_M141" "S6_M156"
"NM_002220" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_172367" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003800" 26 218 11 26 0 34 115 0 60 16 43 403
"NM_001003801" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003802" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003803" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003805" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003806" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001003809" 0 0 0 0 0 0 0 0 0 0 0 0
"NM_001304464" 0 216 0 0 0 0 0 0 10 0 0 180
