transcript_id,X131SBRPF_S6_filtered,X131SBTOTAL_S8_filtered,X25817BRPF_S7_filtered,X29397RPF_S1_filtered,X29397TOTAL_S10_filtered,X29675RPF_S2_filtered,X29675TOTAL_S12_filtered,X540_99BRPF_S3_filtered,X540_99BTOTAL_S9_filtered,X6275BRPF_S4_filtered,WTBRPF_S5_filtered,WTBTOTAL_S11_filtered
1,NM_002220,0,0,0,0,0,0,0,0,0,0,0,0
2,NM_001003806,0,0,0,0,0,0,0,0,0,0,0,0
3,NM_001003805,0,0,0,0,0,0,0,0,0,0,0,0
4,NM_001003802,0,0,0,0,0,0,0,0,0,0,0,0
5,NM_001003803,0,0,0,0,0,0,0,0,0,0,0,0
6,NM_001003800,26,218,11,26,0,34,115,0,60,16,43,403
7,NM_001003801,0,0,0,0,0,0,0,0,0,0,0,0
8,NM_172367,0,0,0,0,0,0,0,0,0,0,0,0
10,NM_001003809,0,0,0,0,0,0,0,0,0,0,0,0
11,NM_001304464,0,216,0,0,0,0,0,0,10,0,0,180
