sgID,chromosome_name,start_position,end_position
202945,cg05820959,7,151248135,151248135
202946,cg13120096,7,151255584,151255584
202947,cg19643252,7,151264653,151264653
202948,cg08265392,7,151290088,151290088
202949,cg14481469,7,151297347,151297347
202950,cg01591487,7,151298634,151298634
202951,cg25244420,7,151300180,151300180
202952,cg27382860,7,151300485,151300485
202953,cg12762399,7,151300710,151300710
202954,cg04900366,7,151301837,151301837
202955,cg07012178,7,151304708,151304708
202956,cg18404559,7,151322523,151322523
202957,cg19412964,7,151328093,151328093
202958,cg09449988,7,151328116,151328116
202959,cg18334211,7,151328924,151328924
202960,cg01108370,7,151330008,151330008
202961,cg20972917,7,151330066,151330066
202962,cg12889538,7,151330217,151330217
202963,cg20716058,7,151330230,151330230
202964,cg11344729,7,151335190,151335190
